Player,Capped/Uncapped,Team,Sold/Unsold,Base Price (cr),Winning Bid (cr)
Rishabh Pant,Capped,LSG,Sold,2.0,27.0
Shreyas Iyer,Capped,PBKS,Sold,2.0,26.75
Venkatesh Iyer,Capped,KKR,Sold,2.0,23.75
Arshdeep Singh,Capped,PBKS,Sold,2.0,18.0
Yuzvendra Chahal,Capped,PBKS,Sold,2.0,18.0
Jos Buttler,Capped,GT,Sold,2.0,15.75
KL Rahul,Capped,DC,Sold,2.0,14.0
Trent Boult,Capped,MI,Sold,2.0,12.5
Josh Hazlewood,Capped,RCB,Sold,2.0,12.5
Jofra Archer,Capped,RR,Sold,2.0,12.5
Mohammad Siraj,Capped,GT,Sold,2.0,12.25
Mitchell Starc,Capped,DC,Sold,2.0,11.75
Phil Salt,Capped,RCB,Sold,2.0,11.5
Ishan Kishan,Capped,SRH,Sold,2.0,11.25
Jitesh Sharma,Capped,RCB,Sold,1.0,11.0
Marcus Stoinis,Capped,PBKS,Sold,2.0,11.0
T. Natarajan,Capped,DC,Sold,2.0,10.75
Kagiso Rabada,Capped,GT,Sold,2.0,10.75
Bhuvneshwar Kumar,Capped,RCB,Sold,2.0,10.75
Mohammad Shami,Capped,SRH,Sold,2.0,10.0
Noor Ahmad,Capped,CSK,Sold,2.0,10.0
Ravichandaran Ashwin,Capped,CSK,Sold,2.0,9.75
Avesh Khan,Capped,LSG,Sold,2.0,9.75
Prasidh Krishna,Capped,GT,Sold,2.0,9.5
Deepak Chahar,Capped,MI,Sold,2.0,9.25
Jake Fraser-Mcgurk,Capped,DC,Sold,2.0,9.0
Liam Livingstone,Capped,RCB,Sold,2.0,8.75
Akash Deep,Capped,LSG,Sold,1.0,8.0
Mukesh Kumar,Capped,DC,Sold,2.0,8.0
Harshal Patel,Capped,SRH,Sold,2.0,8.0
David Miller,Capped,LSG,Sold,1.5,7.5
Marco Jansen,Capped,PBKS,Sold,1.25,7.0
Anrich Nortje,Capped,KKR,Sold,2.0,6.5
Tushar Deshpande,Capped,RR,Sold,1.0,6.5
Devon Conway,Capped,CSK,Sold,2.0,6.25
Harry Brook,Capped,DC,Sold,2.0,6.25
Rasikh Dar,Uncapped,RCB,Sold,0.3,6.0
Krunal Pandya,Capped,RCB,Sold,2.0,5.75
Will Jacks,Capped,MI,Sold,2.0,5.25
Naman Dhir,Uncapped,MI,Sold,0.3,5.25
Wanindu Hasaranga,Capped,RR,Sold,2.0,5.25
Syed Khaleel Ahmed,Capped,CSK,Sold,2.0,4.8
Allah Ghazanfar,Capped,MI,Sold,0.75,4.8
Maheesh Theekshana,Capped,RR,Sold,2.0,4.4
Glenn Maxwell,Capped,PBKS,Sold,2.0,4.2
Abdul Samad,Uncapped,LSG,Sold,0.3,4.2
Nitish Rana,Capped,RR,Sold,1.5,4.2
Nehal Wadhera,Uncapped,PBKS,Sold,0.3,4.2
Rachin Ravindra,Capped,CSK,Sold,1.5,4.0
Ashutosh Sharma,Uncapped,DC,Sold,0.3,3.8
Priyansh Arya,Uncapped,PBKS,Sold,0.3,3.8
