Player,Winning Bid (cr),Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
Abhishek Sharma,14.00,484,16,16,1,75*,32.27,237,204.21,0,3,36,42
Travis Head,14.00,567,15,15,1,102,40.5,296,191.55,1,4,64,32
Heinrich Klaasen,23.00,479,16,15,3,80*,39.92,280,171.07,0,4,19,38
Atharva Taide,0.30,61,2,2,0,46,30.5,39,156.41,0,0,7,2
Nitish Kumar Reddy,6.00,303,13,11,2,76*,33.67,212,142.92,0,2,15,21
Ishan Kishan,11.25,320,14,14,0,69,22.86,215,148.83,0,1,35,16
Pat Cummins,18.00,136,16,10,4,35*,22.67,95,143.15,0,0,9,8
Rahul Chahar,3.20,21,9,2,1,16,21,15,140,0,0,3,1
Jaydev Unadkat,1.00,24,11,5,2,8*,8,26,92.3,0,0,2,1
Harshal Patel,8.00,13,14,4,1,12,4.33,19,68.42,0,0,1,1
Abhinav Manohar,3.20,9,2,2,0,8,4.5,16,56.25,0,0,1,0
Sanju Samson,18.00,531,16,15,4,86,48.27,346,153.46,0,5,48,24
Riyan Parag,14.00,573,16,14,3,84*,52.09,384,149.21,0,4,40,33
Shubham Dubey,0.80,33,4,3,1,25,16.5,19,173.68,0,0,3,2
Yashasvi Jaiswal,18.00,435,16,15,1,104*,31.07,279,155.91,1,1,54,16
Shimron Hetmyer,11.00,113,12,9,4,27*,22.6,69,163.76,0,0,9,7
Dhruv Jurel,14.00,195,15,11,3,56*,24.38,141,138.29,0,2,18,7
Nitish Rana,4.20,42,2,2,0,33,21,34,123.52,0,0,5,1
Romario Shepherd,1.50,57,6,5,3,39*,28.5,21,271.42,0,0,5,5
Phil Salt,11.50,435,12,12,1,89*,39.55,239,182,0,4,50,24
Virat Kohli,21.00,741,15,15,3,113*,61.75,479,154.69,1,5,62,38
Rajat Patidar,11.00,395,15,13,0,55,30.38,223,177.13,0,5,21,33
Swapnil Singh,0.50,37,7,5,3,15*,18.5,21,176.19,0,0,3,3
Tim David,3.00,241,13,11,3,45*,30.13,152,158.55,0,0,14,15
Liam Livingstone,8.75,111,7,7,2,38*,22.2,78,142.3,0,0,8,7
Krunal Pandya,5.75,133,14,12,8,43*,33.25,105,126.66,0,0,8,5
Jitesh Sharma,11.00,187,14,12,1,32*,17,142,131.69,0,0,9,12
Bhuvneshwar Kumar,10.75,23,16,5,2,13,7.67,29,79.31,0,0,3,0
Devdutt Padikkal,2.00,38,7,7,0,13,5.43,53,71.69,0,0,3,0
Shashank Singh,5.50,354,14,14,6,68*,44.25,215,164.65,0,2,28,21
Shreyas Iyer,26.75,351,15,14,5,58*,39,239,146.86,0,2,34,14
Prabhsimran Singh,4.00,334,14,14,0,71,23.86,213,156.8,0,2,34,20
