CountryCode,CountryName,Year,Total Population,GDP (USD),GDP per Capita (USD),Unemployment Rate (%),Access to Electricity (%),Life Expectancy (Yrs),"Mortality Rate (Per 1,000)",Gov. Expenditure on Education (%),"Children in Employment, Female (%)","Children in Employment, Male (%)"
IND,India,2023,1428627663,3549918918777.53,2484.8454294403,4.172,,,,,32.676,76.782
IND,India,2022,1417173173,3353470496885.95,2366.30960899931,4.822,99.2,67.744,29.1,4.12072849273682,27.985,75.399
IND,India,2021,1407563842,3167270623260.52,2250.1790176424,6.38,99.6,67.24,30.6,4.63514137268066,26.731,74.241
IND,India,2020,1396387127,2674851578586.86,1915.55158799947,7.859,96.5,70.15,32.4,4.04014158248901,25.945,73.613
IND,India,2019,1383112050,2835606256558.84,2050.16380022056,6.51,95.9,70.91,34.3,3.89732360839844,26.461,74.669
IND,India,2018,1369003306,2702929641648.14,1974.37773145023,7.652,95.7,70.71,36.4,4.3769326210022,26.609,75.287
IND,India,2017,1354195680,2651474262755.59,1957.96981331058,7.723,91.8,70.467,38.7,4.30639696121216,26.762,75.904
IND,India,2016,1338636340,2294796885663.67,1714.27953738629,7.8,89.6,70.117,41.1,4.256516456604,26.89,76.511
IND,India,2015,1322866505,2103588360044.39,1590.17433134297,7.894,88,69.636,43.6,4.11499166488647,26.971,77.1
USA,United States,2023,334914895,27360935000000,81695.1870713305,3.625,,,,,56.511,67.388
USA,United States,2022,333271411,25744108000000,77246.6738828672,3.65,100,77.4341463414634,6.3,,55.977,67.236
USA,United States,2021,332048977,23594031000000,71055.8761938303,5.349,100,76.3292682926829,6.3,5.42829990386963,55.588,67.043
USA,United States,2020,331526933,21322950000000,64317.398912504,8.055,100,76.9804878048781,6.4,5.39998006820679,55.7,67.116
USA,United States,2019,328329953,21521395000000,65548.0707847572,3.669,100,78.7878048780488,6.5,4.95746994018555,56.885,68.559
USA,United States,2018,326838199,20656516000000,63201.0458483771,3.896,100,78.6390243902439,6.5,4.89502000808716,56.497,68.449
USA,United States,2017,325122128,19612102000000,60322.2614241747,4.355,100,78.5390243902439,6.6,5.09296989440918,56.406,68.418
USA,United States,2016,323071755,18804913000000,58206.6141931844,4.869,100,78.5390243902439,6.7,4.78327989578247,56.135,68.513
USA,United States,2015,320738994,18295019000000,57040.2082136605,5.28,100,78.690243902439,6.8,4.93063020706177,56.002,68.36
CHN,China,2023,1410710000,17794781986104.5,12614.0609948923,4.67,,,,,60.537,72.107
CHN,China,2022,1412175000,17881783387000.9,12662.5831692254,4.98,100,78.587,6.6,4.02356958389282,61.083,72.598
CHN,China,2021,1412360000,17820459508852.2,12617.5051041181,4.55,100,78.211,7,3.98832511901855,61.533,72.572
CHN,China,2020,1411100000,14687744162801,10408.7195541075,5,100,78.077,7.5,4.2333812713623,60.122,71.793
CHN,China,2019,1407745000,14279968506271.7,10143.8602206165,4.56,100,77.968,8,4.05939483642578,61.433,73.2
CHN,China,2018,1402760000,13894907857880.6,9905.40638304527,4.31,100,77.744,8.6,4.02442407608032,61.695,73.793
CHN,China,2017,1396215000,12310491333980.9,8817.04560829162,4.47,100,77.248,9.2,4.11133146286011,62.048,74.513
CHN,China,2016,1387790000,11233313730348.7,8094.39016735149,4.56,100,77.218,9.9,4.20638513565063,62.399,75.215
CHN,China,2015,1379860000,11061572618578.7,8016.44559489998,4.65,100,76.977,10.7,4.24201250076294,62.662,75.788
BRA,Brazil,2023,216422446,2173665655937.27,10043.6239221567,7.95,,,,,53.133,72.982
